Maximum Priority Fee,"The fee, or ""miner tip"", goes to the validator or miner, and incentivizes them to prioritize your transaction.",,,Blockchain term,最大优先交易费用,Frais de priorité maximum,Maximale Prioritätsgebühr,Biaya Prioritas Maksimum,Tariffa prioritaria massima,최대 우선 요금,حداکثر کارمزد اولویت,Taxa de prioridade máxima,Максимальная плата за приоритет,tarifa de prioridad máxima,Pinakamataas na Bayad sa Priyoridad,ค่าแซงคิวสูงสุด,Maksimum Öncelik Ücreti,Phí ưu tiên tối đa,رسوم الأولوية القصوى,最大優先級費用,maximale priority fee,Μέγιστη χρέωση προτεραιότητας,मैक्सिमम प्रायोरिटी फी,maximális elsőbbségi díj,最大優先手数料,Maksymalna opłata za priorytet,Максимальна плата за пріоритет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory pool; mempool,"a.k.a. Transaction Pool

When a user submits a transaction to the Ethereum network–or many other networks based on Ethereum–the transaction goes into what’s known as a “transaction pool”, or “txpool” for short. This is essentially a queue of transactions that are waiting to be added to a block and recorded to the blockchain. There are mechanisms that determine which transactions are “picked up” and included in the next block, and there is currently a lot of research surrounding how this decision gets made. In Bitcoin, the transaction pool was referred to as the “memory pool”, or “mempool”, and often these terms are used interchangeably.",,,Blockchain term,内存池（Mempool）,pool de stockage des transactions ; mempool,Memory Pool; Mempool,pool memori; mempool,pool di memoria; mempool,메모리 풀; 멤풀,استخر حافظه؛ ممپول,pool de memória; mempool,пул памяти; мемпул,grupo de memoria; mempool,memory pool; mempool,"พูลเมมโมรี่, เมมพูล",bellek havuzu; mempool,bể ghi nhớ giao dịch; bể nhớ giao dịch,تجمع المعاملات؛ mempool,内存池,memory pool; mempool,mempool,मेमोरी पूल; mempool,memóriatár; mempool,メモリープール; メムプール,Mempool (pula pamięci),пул пам'яті; мемпул,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge (noun),"Finalized in September 2022, the Merge was the culmination of years of work involved in transitioning Ethereum from a Proof of Work consensus model, to Proof of Stake, all while keeping the network live. This was successful, and reduced the network’s carbon footprint by more than 99.9%.",,,Blockchain term,合并,Fusion (nom),Merge,Gabungan (noun),Merge (noun),병합(명사),ادغام,Fusão,«Слияние»,fusión,Merge (pangngalan),เมิร์ช,Birleştirme,Hợp nhất (danh từ),دمج الإيثريوم (Merge),合併,merge,Συγχώνευση,मर्ज (Merge) (नाउन),egyesítés,「マージ」,Merge,Злиття,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merkle Patricia trie,"Often referred to simply as a ""Merkle trie"" (pronounced ""tree""), a Merkle Patricia trie is a data structure in which a single hash code function (see 'hash') splits into smaller branches. In a similar way to a family tree, where a parent branch splits into child branches, which are then extrapolated into grandchild branches, a Merkle Patricia trie keeps a record of the filiation and history of each element. This type of data structure enables for faster verification on a blockchain network.",,,Ecosystem term,梅克尔树,Arbre de Merkle ,Merkle Patricia-Trie,Merkle Patricia trie,Trie di Patricia Merkle,머클패트리샤트리,درخت مرکل پاتریشیا,Merkle Patricia trie,Дерево Меркла,árbol de Merkle Patricia trie,Merkle Patricia trie,ต้นไม้ Merkle Patricia,Merkle Patricia trie,Cây Merkle Patricia,ميركل باتريشيا تري,梅克爾樹,Merkle Patricia-trie,Merkle Patricia trie,मर्कल पेट्रीसिया ट्राई (Merkle Patricia trie),Merkle Patricia trie,マークルパトリシアツリー,Drzewo skrótów,Merkle Patricia trie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesh,"ConsenSys Mesh is a network of loosely coupled, tightly aligned teams, products, and investments advancing the Ethereum ecosystem and the arrival of web3.",,,Ecosystem term,Mesh,Mesh,Mesh,Mesh,Mesh,메시,مش,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,mesh,Mesh,Mesh,háló,Mesh,Mesh,Mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,"In the context of ""NFT metadata"": Metadata is ""data that provides information about other data"" Metadata ",,,Brand/project name,元数据,Métadonnées,Metadaten,Metadata,Metadati,메타데이터,فراداده,Metadados,Метаданные,metadatos,Metadata,ข้อมูลเมต้า,Meta veri,Metadata,البيانات الوصفية,詮釋資料,metadata,Metadata,मेटाडाटा,Metaadatok,メタデータ,Metadane,Метадані,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask,"MetaMask, either in its mobile app form on iOS and Android, or in its browser extension form, is a tool to access and interact with blockchains and the decentralized web. It allows users to manage their digital identity and the permission of others to interact with that identity; its functions include that of a wallet, a dapp permissions manager, and access to token swaps. It is an open-source project that encourages developers from other projects to build on top of it through MetaMask Snaps.",,,Software term,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,متامسک,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask,"MetaMask, either in its mobile app form on iOS and Android, or in its browser extension form, is a tool to access and interact with blockchains and the decentralized web. It allows users to manage their digital identity and the permission of others to interact with that identity; its functions include that of a wallet, a dapp permissions manager, and access to token swaps. It is an open-source project that encourages developers from other projects to build on top of it through MetaMask Snaps.",,,Brand/project name,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,متامسک,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Bridge,"MetaMask Bridge: You can now access a curated, straightforward bridging experience in MetaMask Bridge, available at https://portfolio.metamask.io/bridge 
Only certain tokens and network combinations are available initially. MetaMask Bridge ",,,Brand name,MetaMask Bridge,Passerelle Metamask,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask 브릿지,پل متامسک,Ponte da MetaMask,Мост MetaMask,puente de MetaMask,MetaMask Bridge,MetaMask Bridge,MetaMask Köprüsü,Cầu MetaMask,جسر MetaMask,MetaMaskMetaMask 跨鏈橋 ,MetaMask Bridge,Γέφυρα MetaMask,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,Мост MetaMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Community Platform,"

MetaMask's community platform can be accessed here:
MetaMask Community",,,MetaMask term,MetaMask 社区平台,Plateforme communautaire Metamask,MetaMask Community-Plattform,Platform Komunitas MetaMask,Piattaforma della Community di MetaMask,MetaMask 커뮤니티 플랫폼,پلتفرم انجمن متامسک,Plataforma da Comunidade da MetaMask,Платформа сообщества MetaMask,plataforma comunitaria de MetaMask,Platform ng Komunidad ng MetaMask,แพลตฟอร์มชุมชน MetaMask,MetaMask Topluluk Platformu,Nền tảng cộng đồng MetaMask,منصة مجتمع MetaMask,MetaMask 社群平台,MetaMask communityplatform,Πλατφόρμα Κοινότητας MetaMask,MetaMask कम्युनिटी प्लेटफ़ॉर्म,MetaMask közösségi platform,MetaMask コミュニティプラットフォーム,Platforma społeczności MetaMask,Платформа спільноти MetaMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Extension,"MetaMask is a web browser extension and mobile app that allows you to manage your Ethereum private keys. By doing so, it serves as a wallet for Ether and other tokens, and allows you to interact with decentralized applications, or dapps. Unlike some wallets, MetaMask keeps no information on you: not your email address, not your password, and not your Secret Recovery Phrase or other private keys. You retain all power over your crypto-identity.",,,MetaMask term,MetaMask Extension,Extension Metamask,MetaMask-Erweiterung,Ekstensi MetaMask,Estensione MetaMask,MetaMask 확장 프로그램,افزونه متامسک,Extensão da MetaMask,Расширение MetaMask,extensión de MetaMask,Extension ng MetaMask,ส่วนขยาย MetaMask,MetaMask Uzantısı,Tiện ích mở rộng MetaMask,امتداد MetaMask,MetaMask 擴充套件,MetaMask extensie,Επέκταση MetaMask,MetaMask एक्सटेंशन,MetaMask bővítmény,MetaMask 拡張機能,Rozszerzenie MetaMask,Розширення MetaMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Flask,"MetaMask Flask is a distribution of the software designed for developers. It's like a laboratory (hence the name) where the MetaMask team can try out new ideas and features. It has experimental, even dangerous functionality in it that is not meant for everyday use. It also doesn't have the same stability guarantees that the production distribution of MetaMask has.

What is MetaMask Flask, and how is it different from normal MetaMask?
",,,MetaMask term,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask 플라스크,متامسک فلسک,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Institutional,"MetaMask Institutional is an institution-compliant version of the world’s leading web3 wallet, MetaMask. Organizations trust us to manage their web3 access and engagement with institution-required security, operational efficiency, and compliance. MetaMask Institutional ",,,MetaMask term,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,متامسک سازمانی,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask 機構版本,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Instututional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Learn,"MetaMask Learn is a free-to-use educational platform available in 10 languages for anyone interested in learning about web3. Through engaging lessons and interactive simulations, it helps you understand what web3 is, why it matters, and how to get started.

MetaMask Learn",,,MetaMask term,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,آموزش متامسک,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,منصة التعلم MetaMask Learn,MetaMask 學習,MetaMask Learn,Εκμάθηση MetaMask,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask SDK,MetaMask SDK (Software Development Kit) is a library that can be installed by developers in their projects. It will automatically guide their users to connect easily with a MetaMask Wallet client.  MetaMask SDK ,,,MetaMask term,MetaMask SDK（软件开发工具包）,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,کیت توسعه نرم‌افزار متامسک,SDK da MetaMask,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,SDK MetaMask,MetaMask SDK,MetaMask 軟體開發套件,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMetrics,"MetaMetrics is an opt-in analytics platform that aims to collect information on non-sensitive user events to help us improve the software for MetaMask users.

How to manage your MetaMetrics settings",,,MetaMask term,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,تحليلات MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metaverse,"A metaverse is a digital universe that contains all the aspects of the real world, such as real-time interactions and economies. It offers a unique experience to end-users. Metaverse ",,,MetaMask term,元宇宙,métavers,Metaverse,metaverse,metaverso,메타버스,متاورس,metaverso,метавселенная,metaverso,metaverse,เมตาเวิร์ส,metaverse,vũ trụ ảo,ميتافرس,元宇宙,metaverse,metaverse,metaverse,metaverzum,メタバース,Metawersum,метавсесвіт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miner tip,"The miner tip is the Maximum Priority Fee that incentivizes the miner to prioritize a transaction. Learn the basics of blockchains and Ethereum (miners and validators, gas, cryptocurrencies and NFTs, block explorer, networks, etc.) ",,,Software term,矿工费,pourboire du mineur,Miner Tip,tip penambang,mancia per i miner,채굴기 팁,انعام ماینر,gorjeta do minerador,«чаевые» майнеру,propina del minero,tip ng minero,ทิปนักขุด,madenci bahşişi,tiền thưởng cho thợ đào,رسوم الأولوية,礦工小費,miner tip,φιλοδώρημα υπεύθυνου εξόρυξης,माइनर (miner) टिप,bányász tipp,マイナーチップ,Miner tip (napiwek dla górnika/walidatora),«чайові майнеру»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mining,"The process by which blocks or transactions are verified and added to a blockchain using a Proof of Work (PoW) consensus mechanism. In order to verify a block, a miner must use a computer to solve a cryptographic problem. Once the computer has solved the problem, the block is considered “mined” or verified. On Bitcoin or other PoW blockchains, the first computer to mine or verify the block receives bitcoin, or the equivalent network token, as a reward.",,,Blockchain term,挖矿,minage,Mining,penambangan,mining,채굴,استخراج,mineração,майнинг,minería,pagmimina,การขุด,madencilik,đào,التعدين,挖礦,mining,εξόρυξη,माइनिंग,bányászás,マイニング,Kopanie kryptowalut,майнінг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint,Minting refers to the act of publishing a token on the blockchain to make it transferrable and purchasable.,,,Blockchain term,铸币,Publier,Prägung,Cetak,Mint,민트,ضرب کردن,Cunhagem,Выполнить минтинг,acuñar,Mint,สร้าง,Mint,Đúc,سكّ,鑄造,minten,Mint,मिंट,pénzverés,ミント,Minting / mintowanie,Мінт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnemonic phrase,"This is an alternative way of referring to a Secret Recovery Phrase, also known as a 'seed phrase': a series of words that correspond to a very long cryptographic key, used to generate and control all the addresses of a crypto wallet.",,,Ecosystem term,助记词,phrase mnémotechnique,Mnemonische Phrase,frasa mnemonik,frase mnemonica,니모닉 구문,عبارت یادآور,frase mnemônica,мнемоническая фраза,frase mnemotécnica,mnemonic na parirala,วลีช่วยจำ,anımsatıcı ifade,cụm từ ghi nhớ,عبارة التذكر,助記詞,mnemonic phrase,Μνημονική φράση,नेमोनिक फ्रेज़,mnemonikus szókapcsolat,ニーモニックフレーズ,Mnemonic phrase,мнемонічна фраза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobiKwik,MobiKwik is an Indian payment service provider founded in 2009 that provides a mobile phone-based payment system and digital wallet.,,,Ecosystem term,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,모비퀵,موبی کویک,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modular blockchain,"Bitcoin is an example of a monolithic blockchain: all of the functions of the network (consensus, execution, data availability, and settlement) are run on one chain. This has significant drawbacks (see ""blockchain trilemma"" for more). A modular blockchain, on the other hand, separates some or all of these functions into separate chains, each one optimized for its specific function, and relying on the other chains for the other functions. Ethereum is currently moving towards modularization, both on a protocol level beginning with the Merge, which split consensus and execution into two chains, and at the level of ""Layer 2"" networks which provide optimized execution environments, and then ""roll up"" their data to Ethereum for its consensus functionality.",,,Brand name,模块化区块链,blockchain modulaire / Chaîne de blocs modulaire,Modulare Blockchain,blockchain modular,blockchain modulare,모듈형 블록체인,بلاک‌چین مدولار,blockchain modular,модульный блокчейн,cadena de bloques modular,modular na blockchain,บล็อกเชนแยกส่วน,modüler blokzinciri,chuỗi khối mô-đun,بلوكتشين قائم على نظام الوحدات ,模塊化區塊鏈,modulaire blockchain,τμηματοποιημένη αλυσίδα,मॉड्यूलर ब्लॉकचेन,moduláris blokklánc,モジュラー型ブロックチェーン,Blockchain modułowy,модульний блокчейн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoonPay,"MoonPay is a financial technology company that builds payments infrastructure for crypto. Its on-and-off-ramp suite of products provides a seamless experience for converting between fiat currencies and cryptocurrencies using all major payment methods, including debit and credit cards, local bank transfers, Apple Pay, Google Pay, and Samsung Pay. MoonPay is active in more than 160 countries and is trusted by 300+ leading wallets, websites, and applications to accept payments and defeat fraud. The company is based in Miami, Florida, and was founded in 2019.",,,Blockchain term,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,مون‌پِی,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-sig,"multi-signature wallet (multisig)
A crypto-asset wallet which requires multiple keys in order to access and transact. Typically, a specified number of individuals are required to approve or “sign” a transaction before they are able to access the wallet. This is different from most wallets, which only require one signature to approve a transaction.",,,Brand name,多重签名,Multisig,Multi-Sig,multi-sig,multi-sig,다중서명,چند امضایی,multisig,multi-sig,multifirma,multi-sig,หลายลายเซ็น,çoklu imza,đa chữ ký,متعددة التوقيع,多重簽名,multi-sig,Πολλαπλών υπογραφών,multi-sig,több aláírású,マルチシグ,Multisig,мультипідпис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-signature wallet (multisig),"A crypto-asset wallet which requires multiple keys in order to access and transact. Typically, a specified number of individuals are required to approve or “sign” a transaction before they are able to access the wallet. This is different from most wallets, which only require one signature to approve a transaction.",,,Ecosystem term,多重签名钱包（multisig）,portefeuille multi-signature (Multisig),Multi-Signatur-Wallet (Multi-Sig),dompet multi-signature (multisig),portafoglio multi-firma (multisig),다중서명지갑(multisig),کیف پول چند امضایی (multisig),carteira multiassinatura (multisig),кошелек с мультиподписью (multisig),monadero multifirma,multi-signature na wallet (multisig),วอลเล็ตหลายลายเซ็น (multisig),çoklu imza cüzdanı,ví đa chữ ký (multisig),محفظة متعددة التوقيع (multisig),多重簽名,multi-signature wallet (multisig),πορτοφόλι πολλαπλών υπογραφών (multisig),multi-signature wallet (multisig),több aláírású pénztárca (multisig),マルチシグウォレット (マルチシグ),Portfel multi-signature (multisig),гаманець з мультипідписом (multisig),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multifactor Authentication,Authentication using two or more different factors to achieve authentication.,,,Ecosystem term,多因素身份验证,Authentification multifactorielle,Multifaktor-Authentifizierung,Autentikasi Multifaktor,Autenticazione a più fattori,다중 인증,احراز هویت چند عاملی,Autenticação multifator,Многофакторная аутентификация,autenticación multifactor,Multifactor na Pagpapatunay,การพิสูจน์ตัวจริงหลายปัจจัย,Çok Faktörlü Kimlik Doğrulaması,Xác thực đa yếu tố,مصادقة متعددة العوامل,多因素認證,meervoudige verificatie,Έλεγχος ταυτότητας πολλών παραγόντων,मल्टीफैक्टर ऑथेंटिकेशन,Többtényezős hitelesítés,多要素認証,Uwierzytelnianie wielopoziomowe,Багатофакторна автентифікація,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Near-Field Communication (NFC),Near-field communication is a set of communication protocols that enables communication between two electronic devices over a distance of 4 cm or less. NFC offers a low-speed connection through a simple setup that can be used to bootstrap more capable wireless connections..,,,Software term,近距离无线通讯（NFC）,Communication en champ proche (NFC),Near Field Communication (NFC),Komunikasi Near-Field (NFC),Near-Field Communication (NFC),근거리 무선 통신(NFC),ارتباطات در محدوده نزدیک (NFC),Comunicação por campo de proximidade (NFC),Технология ближней бесконтактной связи (NFC),comunicación de campo cercano (NFC),Near-Field Communication (NFC),การสื่อสารไร้สายระยะใกล้ (NFC),Yakın Alan İletişimi (NFC),Giao tiếp trường gần (NFC),خاصية الاتصال قريب المدى (NFC),近距離無線通訊,NFC (near-field communication),Επικοινωνία κοντινού πεδίου (NFC),नियर-फील्ड कम्युनिकेशन (NFC),Near-Field Communication (NFC),近距離無線通信 (NFC),NFC (komunikacja bliskiego zasięgu),Комунікація ближнього поля (NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nested Blockchain,"A nested blockchain is essentially a blockchain within — or, rather, atop — another blockchain. See ""Layer 2""",,,Software term,嵌套区块链,Blockchain imbriquée / Chaîne de blocs imbriquée,Verschachtelte Blockchain,Nested Blockchain,Nested Blockchain,중첩블록체인,بلاک‌چین تودرتو,Blockchain aninhada,Вложенный блокчейн,cadena de bloques anidada,Nested na Blockchain,บล็อกเชนย่อย,Nested (İç İçe) Blokzincir,Chuỗi khối lồng nhau,بلوكتشين متداخل,巢狀區塊鏈,nested blockchain,Nested Blockchain,नेस्टेड ब्लॉकचेन,beágyazott blokklánc,ネストされたブロックチェーン,Blockchain zagnieżdżony,Вкладений блокчейн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,A network refers to all nodes in the operation of a blockchain at any given moment in time. ,,,Blockchain term,网络,Réseau ,Netzwerk,Jaringan  ,Rete,네트워크,شبکه,Rede,Сеть,red,Network,เครือข่าย,Ağ,Mạng,شبكة,網路,netwerk,Network (Δίκτυο),नेटवर्क,hálózat,ネットワーク,Sieć,Мережа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Congestion,"The reduced quality of service that occurs when a network node or link is carrying more data than it can handle. Typical effects include queueing delay, packet loss or the blocking of new connections. Congestion ",,,Blockchain term,网络拥塞,Congestion de réseau,Netzwerküberlastung,Kemacetan Jaringan,Congestione della rete,네트워크 정체,ازدحام شبکه,Congestionamento de rede,Перегрузка сети,congestión de red,Pagsisikip ng Network,ความแออัดของเครือข่าย,Ağ Tıkanıklığı,Nghẽn mạng,ازدحام الشبكة,網路擁塞,netwerkcongestie,Συμφόρηση δικτύου,नेटवर्क कंजेस्शन,hálózati torlódás,ネットワークの輻輳,Przeciążenie sieci,Перевантаження мережі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
